date,tour,player_a,player_b,surface,edge,edge_tier,stake_eur,odds,result,pnl_eur,bankroll_after
2025-01-06,ATP,David Goffin,Rinky Hijikata,Hard,0.0728,Medium,2.82,1.62,0,-2.82,161.15
2025-01-06,ATP,Roberto Carballes Baena,Zizou Bergs,Hard,0.0777,Medium,2.82,2.3,0,-2.82,161.15
2025-01-06,ATP,Roberto Carballes Baena,Francisco Cerundolo,Hard,0.0945,Strong,4.7,2.63,1,7.66,161.15
2025-01-06,ATP,Marcos Giron,Aleksandar Vukic,Hard,0.041,Small,1.88,2.0,1,1.88,161.15
2025-01-06,ATP,Yoshihito Nishioka,Thanasi Kokkinakis,Hard,0.1082,Strong,4.7,2.38,0,-4.7,161.15
2025-01-06,ATP,Alexander Bublik,Miomir Kecmanovic,Hard,0.0718,Medium,2.82,2.3,0,-2.82,161.15
2025-01-06,ATP,Tommy Paul,Rinky Hijikata,Hard,0.12,Strong,4.7,1.3,1,1.41,161.15
2025-01-06,ATP,Lorenzo Sonego,Alex Michelsen,Hard,0.0856,Strong,4.7,2.38,0,-4.7,161.15
2025-01-06,ATP,Zizou Bergs,Luca Nardi,Hard,0.0953,Strong,4.7,1.62,1,2.91,161.15
2025-01-06,ATP,Sebastian Baez,Facundo Diaz Acosta,Hard,0.0981,Strong,4.7,2.0,0,-4.7,161.15
2025-01-06,ATP,Ben Shelton,Jakub Mensik,Hard,0.0746,Medium,2.82,1.73,0,-2.82,161.15
2025-01-06,Challenger,Yan Bai,Aslan Karatsev,Hard,0.0844,Strong,4.7,4.5,0,-4.7,161.15
2025-01-06,Challenger,Wishaya Trongcharoenchaikul,Jie Cui,Hard,0.0782,Medium,2.82,4.0,0,-2.82,161.15
2025-01-06,Challenger,Moez Echargui,Woobin Shin,Hard,0.0562,Medium,2.82,1.83,1,2.35,161.15
2025-01-06,Challenger,Jelle Sels,Clement Tabur,Hard,0.1079,Strong,4.7,2.38,1,6.49,161.15
2025-01-06,Challenger,Jelle Sels,Daniel Michalski,Hard,0.0533,Medium,2.82,1.83,0,-2.82,161.15
2025-01-06,Challenger,Yusuke Takahashi,Marat Sharipov,Hard,0.0945,Strong,4.7,3.0,0,-4.7,161.15
2025-01-06,Challenger,Yusuke Takahashi,Ryotaro Taguchi,Hard,0.038,Small,1.88,1.83,1,1.57,161.15
2025-01-06,Challenger,Enrico Dalla Valle,Hikaru Shiraishi,Hard,0.1149,Strong,4.7,1.53,1,2.49,161.15
2025-01-06,Challenger,Enrico Dalla Valle,Jakub Paul,Hard,0.0593,Medium,2.82,2.1,0,-2.82,161.15
2025-01-06,Challenger,Zdenek Kolar,Ryuki Matsuda,Hard,0.0581,Medium,2.82,1.83,1,2.35,161.15
2025-01-06,Challenger,Corentin Denolly,Rio Noguchi,Hard,0.1046,Strong,4.7,2.25,0,-4.7,161.15
2025-01-06,Challenger,Oleg Prihodko,Andre Ilagan,Hard,0.087,Strong,4.7,2.25,0,-4.7,161.15
2025-01-06,Challenger,Jie Cui,Rio Noguchi,Hard,0.0593,Medium,2.82,2.2,0,-2.82,161.15
2025-01-06,Challenger,Rio Noguchi,Murphy Cassone,Hard,0.0394,Small,1.88,3.25,1,4.23,161.15
2025-01-06,Challenger,Rio Noguchi,Maximus Jones,Hard,0.0759,Medium,2.82,1.53,1,1.49,161.15
2025-01-06,Challenger,Neil Oberleitner,Yuttana Charoenphon,Hard,0.0411,Small,1.88,1.08,1,0.16,161.15
2025-01-06,Challenger,Jakub Paul,Pawit Sornlaksup,Hard,0.073,Medium,2.82,1.25,1,0.7,161.15
2025-01-06,Challenger,Stefanos Sakellaridis,Ryotaro Taguchi,Hard,0.0434,Small,1.88,2.25,0,-1.88,161.15
2025-01-06,Challenger,Karan Singh,Pawit Sornlaksup,Hard,0.1039,Strong,4.7,1.57,0,-4.7,161.15
2025-01-06,Challenger,Ricardas Berankis,Evgeny Karlovskiy,Hard,0.0426,Small,1.88,1.4,1,0.75,161.15
2025-01-06,Challenger,Ricardas Berankis,Tiago Pereira,Hard,0.0722,Medium,2.82,1.44,1,1.25,161.15
2025-01-06,Challenger,Egor Gerasimov,Hamad Medjedovic,Hard,0.0655,Medium,2.82,5.5,0,-2.82,161.15
2025-01-06,Challenger,Denis Yevseyev,Antoine Cornut Chauvinc,Hard,0.1022,Strong,4.7,1.62,0,-4.7,161.15
2025-01-06,Challenger,Alexander Ritschard,Sebastian Fanselow,Hard,0.0972,Strong,4.7,1.36,1,1.69,161.15
2025-01-06,Challenger,Christoph Negritu,Tiago Pereira,Hard,0.0384,Small,1.88,1.3,0,-1.88,161.15
2025-01-06,Challenger,Ivan Gakhov,Diogo Marques,Hard,0.0812,Strong,4.7,1.22,1,1.04,161.15
2025-01-06,Challenger,Ivan Gakhov,Max Hans Rehberg,Hard,0.0389,Small,1.88,3.0,0,-1.88,161.15
2025-01-06,Challenger,Liam Draxl,Hamad Medjedovic,Hard,0.0929,Strong,4.7,2.75,0,-4.7,161.15
2025-01-06,Challenger,Liam Draxl,Samuel Vincent Ruggeri,Hard,0.0369,Small,1.88,1.67,1,1.26,161.15
2025-01-06,Challenger,Max Hans Rehberg,Daniel Rincon,Hard,0.057,Medium,2.82,1.57,0,-2.82,161.15
2025-01-06,Challenger,Micah Braswell,Daniel Rincon,Hard,0.0498,Small,1.88,2.0,0,-1.88,161.15
2025-01-06,Challenger,Norbert Gombos,Alexis Gautier,Hard,0.0603,Medium,2.82,1.53,0,-2.82,161.15
2025-01-06,Challenger,Norbert Gombos,Felix Corwin,Hard,0.0836,Strong,4.7,1.57,1,2.69,161.15
2025-01-06,Challenger,Toby Martin,Raul Brancaccio,Hard,0.058,Medium,2.82,5.0,0,-2.82,161.15
2025-01-06,Challenger,Blake Mott,Nicolai Budkov Kjaer,Hard,0.1041,Strong,4.7,2.5,0,-4.7,161.15
2025-01-06,Challenger,Blake Mott,James Story,Hard,0.0562,Medium,2.82,1.62,1,1.74,161.15
2025-01-06,Challenger,Dennis Novak,Viktor Durasovic,Hard,0.0566,Medium,2.82,1.53,0,-2.82,161.15
2025-01-06,Challenger,Dennis Novak,Raul Brancaccio,Hard,0.1041,Strong,4.7,1.67,1,3.15,161.15
2025-01-06,Challenger,Dennis Novak,Edas Butvilas,Hard,0.055,Medium,2.82,2.1,1,3.1,161.15
2025-01-06,Challenger,Ryan Peniston,Johannus Monday,Hard,0.0778,Medium,2.82,2.5,0,-2.82,161.15
2025-01-06,Challenger,Viktor Durasovic,Filip Misolic,Hard,0.0384,Small,1.88,2.5,1,2.82,161.15
2025-01-06,Challenger,Raul Brancaccio,Patrick Brady,Hard,0.0438,Small,1.88,1.57,1,1.07,161.15
2025-01-06,Challenger,Patrick Zahraj,Milos Karol,Hard,0.0538,Medium,2.82,2.0,0,-2.82,161.15
2025-01-06,Challenger,Patrick Zahraj,Antoine Ghibaudo,Hard,0.0472,Small,1.88,1.91,1,1.71,161.15
2025-01-06,Challenger,Michael Vrbensky,Filip Misolic,Hard,0.1007,Strong,4.7,2.5,0,-4.7,161.15
2025-01-06,Challenger,Sandro Kopp,Aidan Mayo,Hard,0.0947,Strong,4.7,3.0,1,9.4,161.15
2025-01-13,ATP,Stan Wawrinka,Lorenzo Sonego,Hard,0.1169,Strong,2.88,3.0,0,-2.88,121.98
2025-01-13,ATP,Gael Monfils,Daniel Altmaier,Hard,0.114,Strong,2.88,1.2,1,0.58,121.98
2025-01-13,ATP,Roberto Bautista Agut,Denis Shapovalov,Hard,0.1034,Strong,2.88,3.2,0,-2.88,121.98
2025-01-13,ATP,Kei Nishikori,Thiago Monteiro,Hard,0.0344,Small,1.15,1.2,1,0.23,121.98
2025-01-13,ATP,Kei Nishikori,Tommy Paul,Hard,0.093,Strong,2.88,3.0,0,-2.88,121.98
2025-01-13,ATP,David Goffin,Benjamin Bonzi,Hard,0.0947,Strong,2.88,2.63,0,-2.88,121.98
2025-01-13,ATP,Pablo Carreno Busta,Ben Shelton,Hard,0.0318,Small,1.15,3.5,0,-1.15,121.98
2025-01-13,ATP,Roberto Carballes Baena,Alejandro Tabilo,Hard,0.0886,Strong,2.88,2.63,1,4.69,121.98
2025-01-13,ATP,Mitchell Krueger,Rinky Hijikata,Hard,0.1064,Strong,2.88,3.0,1,5.76,121.98
2025-01-13,ATP,Yoshihito Nishioka,Carlos Alcaraz,Hard,0.0388,Small,1.15,19.0,0,-1.15,121.98
2025-01-13,ATP,Daniil Medvedev,Learner Tien,Hard,0.0817,Strong,2.88,1.17,0,-2.88,121.98
2025-01-13,ATP,Cristian Garin,Borna Coric,Hard,0.0516,Medium,1.73,2.1,1,1.9,121.98
2025-01-13,ATP,Cristian Garin,Taylor Fritz,Hard,0.0787,Medium,1.73,13.0,0,-1.73,121.98
2025-01-13,ATP,Jordan Thompson,Dominik Koepfer,Hard,0.0685,Medium,1.73,1.36,1,0.62,121.98
2025-01-13,ATP,Quentin Halys,Arthur Fils,Hard,0.0727,Medium,1.73,4.33,0,-1.73,121.98
2025-01-13,ATP,Karen Khachanov,Gabriel Diallo,Hard,0.0912,Strong,2.88,1.33,1,0.95,121.98
2025-01-13,ATP,Cameron Norrie,Matteo Berrettini,Hard,0.0846,Strong,2.88,3.2,0,-2.88,121.98
2025-01-13,ATP,Botic Van De Zandschulp,Alex De Minaur,Hard,0.0322,Small,1.15,10.0,0,-1.15,121.98
2025-01-13,ATP,Alexandre Muller,Nuno Borges,Hard,0.1027,Strong,2.88,2.2,0,-2.88,121.98
2025-01-13,ATP,Reilly Opelka,Gauthier Onclin,Hard,0.033,Small,1.15,1.29,1,0.33,121.98
2025-01-13,ATP,Reilly Opelka,Tomas Machac,Hard,0.0599,Medium,1.73,3.4,0,-1.73,121.98
2025-01-13,ATP,Casper Ruud,Jakub Mensik,Hard,0.044,Small,1.15,1.73,0,-1.15,121.98
2025-01-13,ATP,Otto Virtanen,Arthur Fils,Hard,0.0853,Strong,2.88,6.0,0,-2.88,121.98
2025-01-13,ATP,Thiago Seyboth Wild,Fabian Marozsan,Hard,0.0381,Small,1.15,3.0,0,-1.15,121.98
2025-01-13,ATP,Alexander Shevchenko,Carlos Alcaraz,Hard,0.0454,Small,1.15,29.0,0,-1.15,121.98
2025-01-13,Challenger,Hiroki Moriya,Yu Hsiou Hsu,Hard,0.0425,Small,1.15,2.38,1,1.58,121.98
2025-01-13,Challenger,Wishaya Trongcharoenchaikul,Brandon Holt,Hard,0.0707,Medium,1.73,10.0,0,-1.73,121.98
2025-01-13,Challenger,Enzo Couacaud,Dalibor Svrcina,Hard,0.0611,Medium,1.73,2.25,0,-1.73,121.98
2025-01-13,Challenger,Fajing Sun,Zachary Svajda,Hard,0.0606,Medium,1.73,3.0,0,-1.73,121.98
2025-01-13,Challenger,Hugo Grenier,Eliot Spizzirri,Hard,0.1013,Strong,2.88,2.0,1,2.88,121.98
2025-01-13,Challenger,Corentin Denolly,Francesco Maestrelli,Hard,0.0867,Strong,2.88,3.0,0,-2.88,121.98
2025-01-13,Challenger,Corentin Denolly,Thanaphat Boosarawongse,Hard,0.0516,Medium,1.73,1.12,1,0.22,121.98
2025-01-13,Challenger,Oleg Prihodko,Clement Tabur,Hard,0.0919,Strong,2.88,2.25,0,-2.88,121.98
2025-01-13,Challenger,Vit Kopriva,Dalibor Svrcina,Hard,0.0353,Small,1.15,1.83,1,0.95,121.98
2025-01-13,Challenger,Valentin Vacherot,Murphy Cassone,Hard,0.0999,Strong,2.88,1.73,0,-2.88,121.98
2025-01-13,Challenger,Brandon Holt,Clement Tabur,Hard,0.1026,Strong,2.88,1.5,1,1.44,121.98
2025-01-13,Challenger,Brandon Holt,Zachary Svajda,Hard,0.083,Strong,2.88,2.0,1,2.88,121.98
2025-01-13,Challenger,Brandon Holt,Coleman Wong,Hard,0.0437,Small,1.15,1.83,1,0.95,121.98
2025-01-13,Challenger,Rio Noguchi,Timofey Skatov,Hard,0.099,Strong,2.88,2.1,1,3.17,121.98
2025-01-13,Challenger,Rio Noguchi,Yuttana Charoenphon,Hard,0.0583,Medium,1.73,1.07,1,0.12,121.98
2025-01-13,Challenger,Rio Noguchi,Murphy Cassone,Hard,0.05,Medium,1.73,2.25,0,-1.73,121.98
2025-01-13,Challenger,Federico Arnaboldi,Murphy Cassone,Hard,0.1128,Strong,2.88,3.75,0,-2.88,121.98
2025-01-13,Challenger,Lorenzo Giustino,Tiago Pereira,Hard,0.064,Medium,1.73,1.5,0,-1.73,121.98
2025-01-13,Challenger,Denis Yevseyev,Frederico Ferreira Silva,Hard,0.0799,Medium,1.73,1.73,0,-1.73,121.98
2025-01-13,Challenger,Karue Sell,Oleksandr Ovcharenko,Hard,0.0896,Strong,2.88,1.44,0,-2.88,121.98
2025-01-13,Challenger,Alexander Ritschard,Alexis Galarneau,Hard,0.0918,Strong,2.88,2.25,0,-2.88,121.98
2025-01-13,Challenger,Frederico Ferreira Silva,Mackenzie Mcdonald,Hard,0.0919,Strong,2.88,5.5,0,-2.88,121.98
2025-01-13,Challenger,Mackenzie Mcdonald,Dino Prizmic,Hard,0.0856,Strong,2.88,1.57,1,1.64,121.98
2025-01-13,Challenger,Michael Geerts,Ergi Kirkin,Hard,0.0682,Medium,1.73,1.73,0,-1.73,121.98
2025-01-13,Challenger,Bernabe Zapata Miralles,Edas Butvilas,Hard,0.117,Strong,2.88,2.1,0,-2.88,121.98
2025-01-13,Challenger,Ergi Kirkin,Hamad Medjedovic,Hard,0.1048,Strong,2.88,10.0,0,-2.88,121.98
2025-01-13,Challenger,Ergi Kirkin,Samuel Vincent Ruggeri,Hard,0.082,Strong,2.88,3.75,1,7.92,121.98
2025-01-13,Challenger,Alexis Galarneau,Aleksandar Kovacevic,Hard,0.0525,Medium,1.73,2.1,0,-1.73,121.98
2025-01-13,Challenger,Javier Barranco Cosano,Pol Martin Tiffon,Hard,0.074,Medium,1.73,1.8,0,-1.73,121.98
2025-01-13,Challenger,Aleksandar Kovacevic,Liam Draxl,Hard,0.0681,Medium,1.73,2.0,1,1.73,121.98
2025-01-13,Challenger,Aleksandar Kovacevic,Mark Lajal,Hard,0.1047,Strong,2.88,2.2,1,3.46,121.98
2025-01-13,Challenger,Pablo Llamas Ruiz,Robin Bertrand,Hard,0.0786,Medium,1.73,1.8,0,-1.73,121.98
2025-01-13,Challenger,Max Hans Rehberg,Tiago Pereira,Hard,0.0823,Strong,2.88,1.3,0,-2.88,121.98
2025-01-13,Challenger,Robin Bertrand,Henrique Rocha,Hard,0.0622,Medium,1.73,2.5,0,-1.73,121.98
2025-01-13,Challenger,Daniel Dutra Da Silva,Genaro Alberto Olivieri,Clay,0.0325,Small,1.15,2.75,0,-1.15,121.98
2025-01-13,Challenger,Renzo Olivo,Adolfo Daniel Vallejo,Clay,0.042,Small,1.15,2.63,0,-1.15,121.98
2025-01-13,Challenger,Maxime Chazal,Roman Andres Burruchaga,Clay,0.0358,Small,1.15,4.33,0,-1.15,121.98
2025-01-13,Challenger,Gonzalo Villanueva,Romeo Arcuschin,Clay,0.0356,Small,1.15,1.12,1,0.14,121.98
2025-01-13,Challenger,Gonzalo Villanueva,Franco Roncadelli,Clay,0.0499,Small,1.15,1.83,1,0.96,121.98
2025-01-13,Challenger,Gonzalo Villanueva,Roman Andres Burruchaga,Clay,0.0764,Medium,1.73,4.33,1,5.77,121.98
2025-01-13,Challenger,Gonzalo Villanueva,Juan Bautista Torres,Clay,0.0543,Medium,1.73,3.25,1,3.89,121.98
2025-01-13,Challenger,Gonzalo Villanueva,Adolfo Daniel Vallejo,Clay,0.0991,Strong,2.88,2.63,0,-2.88,121.98
2025-01-13,Challenger,Mariano Kestelboim,Alejo Lorenzo Lingua Lavallen,Clay,0.0361,Small,1.15,1.83,1,0.96,121.98
2025-01-13,Challenger,Andrea Pellegrino,Gabriel Debru,Clay,0.1097,Strong,2.88,2.38,0,-2.88,121.98
2025-01-13,Challenger,Genaro Alberto Olivieri,Adolfo Daniel Vallejo,Clay,0.0957,Strong,2.88,2.0,0,-2.88,121.98
2025-01-13,Challenger,Alvaro Guillen Meza,Adolfo Daniel Vallejo,Clay,0.0803,Strong,2.88,1.83,0,-2.88,121.98
2025-01-13,Challenger,Gonzalo Bueno,Gabriel Debru,Clay,0.0601,Medium,1.73,2.75,1,3.03,121.98
2025-01-20,Challenger,Daniel Dutra Da Silva,Lautaro Midon,Clay,0.0589,Medium,2.22,2.5,0,-2.22,111.7
2025-01-20,Challenger,Marco Trungelliti,Carlos Taberner,Clay,0.0561,Medium,2.22,1.91,0,-2.22,111.7
2025-01-20,Challenger,Marco Trungelliti,Mateus Alves,Clay,0.0302,Small,1.48,1.67,1,0.99,111.7
2025-01-20,Challenger,Marco Trungelliti,Juan Bautista Torres,Clay,0.0996,Strong,3.71,2.0,1,3.71,111.7
2025-01-20,Challenger,Andrea Collarini,Max Houkes,Clay,0.0566,Medium,2.22,1.57,0,-2.22,111.7
2025-01-20,Challenger,Facundo Mena,Joaquin  Aguilar Cardozo ,Clay,0.0354,Small,1.48,1.22,1,0.33,111.7
2025-01-20,Challenger,Daniel Elahi Galan,Emilio Nava,Clay,0.0519,Medium,2.22,1.8,1,1.78,111.7
2025-01-20,Challenger,Andrea Pellegrino,Roman Andres Burruchaga,Clay,0.0988,Strong,3.71,3.0,0,-3.71,111.7
2025-01-20,Challenger,Carlos Taberner,Gabriel Debru,Clay,0.103,Strong,3.71,2.25,1,4.64,111.7
2025-01-20,Challenger,Tomas Barrios Vera,Alvaro Guillen Meza,Clay,0.0751,Medium,2.22,1.53,1,1.18,111.7
2025-01-20,Challenger,Emilio Nava,Roman Andres Burruchaga,Clay,0.0351,Small,1.48,2.1,1,1.63,111.7
2025-01-20,Challenger,Emilio Nava,Adolfo Daniel Vallejo,Clay,0.0365,Small,1.48,1.73,1,1.08,111.7
2025-01-20,Challenger,Franco Roncadelli,Juan Bautista Torres,Clay,0.0601,Medium,2.22,3.25,0,-2.22,111.7
2025-01-20,Challenger,Gastao Elias,Beibit Zhukayev,Hard,0.1008,Strong,3.71,2.75,0,-3.71,111.7
2025-01-20,Challenger,Nikoloz Basilashvili,Marc Andrea Huesler,Hard,0.0501,Medium,2.22,2.63,1,3.62,111.7
2025-01-20,Challenger,Yasutaka Uchiyama,Christopher Eubanks,Hard,0.0321,Small,1.48,2.5,1,2.22,111.7
2025-01-20,Challenger,Denis Yevseyev,Lukas Klein,Hard,0.0573,Medium,2.22,3.5,1,5.55,111.7
2025-01-20,Challenger,Denis Yevseyev,Valentin Royer,Hard,0.051,Medium,2.22,2.63,0,-2.22,111.7
2025-01-20,Challenger,Denis Yevseyev,Tiago Pereira,Hard,0.0913,Strong,3.71,1.44,1,1.65,111.7
2025-01-20,Challenger,Alexander Ritschard,Alexander Blockx,Hard,0.0736,Medium,2.22,2.1,0,-2.22,111.7
2025-01-20,Challenger,Pedro Araujo,Liam Draxl,Hard,0.0827,Strong,3.71,5.5,0,-3.71,111.7
2025-01-20,Challenger,Dmitry Popko,Beibit Zhukayev,Hard,0.1075,Strong,3.71,2.75,0,-3.71,111.7
2025-01-20,Challenger,Dmitry Popko,Raphael Collignon,Hard,0.0315,Small,1.48,3.5,1,3.7,111.7
2025-01-20,Challenger,Christoph Negritu,Beibit Zhukayev,Hard,0.0531,Medium,2.22,2.5,0,-2.22,111.7
2025-01-20,Challenger,Christoph Negritu,Matej Dodig,Hard,0.0535,Medium,2.22,1.83,1,1.85,111.7
2025-01-20,Challenger,Alexis Galarneau,Liam Draxl,Hard,0.086,Strong,3.71,2.0,0,-3.71,111.7
2025-01-20,Challenger,Daniel Batista,Pablo Llamas Ruiz,Hard,0.0619,Medium,2.22,9.0,0,-2.22,111.7
2025-01-20,Challenger,Pablo Llamas Ruiz,Liam Draxl,Hard,0.1016,Strong,3.71,2.75,0,-3.71,111.7
2025-01-20,Challenger,Cleeve Harper,Mark Lajal,Hard,0.0597,Medium,2.22,6.0,0,-2.22,111.7
2025-01-20,Challenger,Henrique Rocha,Mark Lajal,Hard,0.0532,Medium,2.22,2.75,0,-2.22,111.7
2025-01-20,Challenger,Mikhail Kukushkin,Titouan Droguet,Hard,0.064,Medium,2.22,1.83,0,-2.22,111.7
2025-01-20,Challenger,Benoit Paire,Vitaliy Sachko,Hard,0.0837,Strong,3.71,2.63,0,-3.71,111.7
2025-01-20,Challenger,Benoit Paire,Harold Mayot,Hard,0.0782,Medium,2.22,4.5,1,7.77,111.7
2025-01-20,Challenger,Pierre Hugues Herbert,Sascha Gueymard Wayenburg,Hard,0.1189,Strong,3.71,1.5,0,-3.71,111.7
2025-01-20,Challenger,Constant Lestienne,Mattia Bellucci,Hard,0.11,Strong,3.71,2.38,1,5.12,111.7
2025-01-20,Challenger,Mackenzie Mcdonald,Sascha Gueymard Wayenburg,Hard,0.0557,Medium,2.22,1.29,0,-2.22,111.7
2025-01-20,Challenger,Laslo Djere,Sascha Gueymard Wayenburg,Hard,0.0364,Small,1.48,1.33,0,-1.48,111.7
2025-01-20,Challenger,Laslo Djere,Arthur Gea,Hard,0.1121,Strong,3.71,1.67,1,2.49,111.7
2025-01-20,Challenger,Gijs Brouwer,Kyrian Jacquet,Hard,0.0893,Strong,3.71,1.8,0,-3.71,111.7
2025-01-20,Challenger,Corentin Denolly,Loic Namigandet Tenguere,Hard,0.1072,Strong,3.71,1.33,1,1.24,111.7
2025-01-20,Challenger,Matteo Martineau,Jerome Kym,Hard,0.038,Small,1.48,2.75,1,2.59,111.7
2025-01-20,Challenger,August Holmgren,Titouan Droguet,Hard,0.0683,Medium,2.22,2.2,0,-2.22,111.7
2025-01-20,Challenger,Maxence Beauge,Samuel Vincent Ruggeri,Hard,0.0452,Small,1.48,4.5,0,-1.48,111.7
2025-01-20,Challenger,Aleksandar Kovacevic,Alibek Kachmazov,Hard,0.079,Medium,2.22,1.53,1,1.18,111.7
2025-01-20,Challenger,Kyrian Jacquet,Mae Malige,Hard,0.0692,Medium,2.22,1.29,1,0.63,111.7
2025-01-27,ATP,Richard Gasquet,Adrian Mannarino,Hard,0.0581,Medium,1.67,2.1,1,1.84,81.28
2025-01-27,ATP,Felix Auger Aliassime,Arthur Cazaux,Hard,0.0815,Strong,2.79,1.44,1,1.23,81.28
2025-01-27,Challenger,Daniel Dutra Da Silva,Andrea Pellegrino,Clay,0.085,Strong,2.79,3.4,0,-2.79,81.28
2025-01-27,Challenger,Federico Coria,Facundo Mena,Clay,0.0552,Medium,1.67,1.44,0,-1.67,81.28
2025-01-27,Challenger,Federico Coria,Juan Bautista Torres,Clay,0.0506,Medium,1.67,1.5,1,0.84,81.28
2025-01-27,Challenger,Renzo Olivo,Gabriel Debru,Clay,0.0644,Medium,1.67,3.5,0,-1.67,81.28
2025-01-27,Challenger,Marco Cecchinato,Mateus Alves,Clay,0.0696,Medium,1.67,2.63,0,-1.67,81.28
2025-01-27,Challenger,Pedro Sakamoto,Joel Schwaerzler,Clay,0.1154,Strong,2.79,2.75,1,4.88,81.28
2025-01-27,Challenger,Gonzalo Villanueva,Alex Marti Pujolras,Clay,0.0759,Medium,1.67,1.83,0,-1.67,81.28
2025-01-27,Challenger,Daniel Elahi Galan,Valerio Aboian,Clay,0.0393,Small,1.11,1.25,1,0.28,81.28
2025-01-27,Challenger,Juan Pablo Ficovich,Emilio Nava,Clay,0.1059,Strong,2.79,2.63,1,4.55,81.28
2025-01-27,Challenger,Mateus Alves,Roman Andres Burruchaga,Clay,0.0973,Strong,2.79,2.75,0,-2.79,81.28
2025-01-27,Challenger,Genaro Alberto Olivieri,Roman Andres Burruchaga,Clay,0.0953,Strong,2.79,3.0,0,-2.79,81.28
2025-01-27,Challenger,Leonardo Aboian,Joel Schwaerzler,Clay,0.1125,Strong,2.79,4.33,0,-2.79,81.28
2025-01-27,Challenger,Illya Marchenko,Joshua Charlton,Hard,0.0592,Medium,1.67,1.3,1,0.5,81.28
2025-01-27,Challenger,Hiroki Moriya,Jason Kubler,Hard,0.1042,Strong,2.79,3.4,0,-2.79,81.28
2025-01-27,Challenger,Bernard Tomic,Charles Broom,Hard,0.0823,Strong,2.79,1.62,1,1.73,81.28
2025-01-27,Challenger,Bernard Tomic,Adam Walton,Hard,0.0542,Medium,1.67,3.5,0,-1.67,81.28
2025-01-27,Challenger,Alex Bolt,Tristan Schoolkate,Hard,0.1133,Strong,2.79,3.25,0,-2.79,81.28
2025-01-27,Challenger,Maxime Janvier,Govind Nanda,Hard,0.0445,Small,1.11,2.1,0,-1.11,81.28
2025-01-27,Challenger,Adam Walton,Tristan Schoolkate,Hard,0.0998,Strong,2.79,1.73,0,-2.79,81.28
2025-01-27,Challenger,Kosuke Ogura,James Watt,Hard,0.058,Medium,1.67,1.83,0,-1.67,81.28
2025-01-27,Challenger,Matthew Dellavedova,Dane Sweeny,Hard,0.059,Medium,1.67,2.2,1,2.0,81.28
2025-01-27,Challenger,Matthew Dellavedova,Tristan Schoolkate,Hard,0.0783,Medium,1.67,5.0,0,-1.67,81.28
2025-01-27,Challenger,Moerani Bouzige,James Mccabe,Hard,0.0562,Medium,1.67,3.75,0,-1.67,81.28
2025-01-27,Challenger,Rinky Hijikata,James Mccabe,Hard,0.0363,Small,1.11,1.44,0,-1.11,81.28
2025-01-27,Challenger,Sam Ryan Ziegann,Keisuke Saitoh,Hard,0.0608,Medium,1.67,4.0,1,5.01,81.28
2025-01-27,Challenger,Thomas Braithwaite,Hayato Matsuoka,Hard,0.0441,Small,1.11,2.5,1,1.67,81.28
2025-01-27,Challenger,Jacob Bradshaw,Cruz Hewitt,Hard,0.0319,Small,1.11,1.4,1,0.44,81.28
2025-01-27,Challenger,Antoine Escoffier,Geoffrey Blancaneaux,Hard,0.1075,Strong,2.79,1.62,0,-2.79,81.28
2025-01-27,Challenger,Dimitar Kuzmanov,Henri Squire,Hard,0.0941,Strong,2.79,2.5,0,-2.79,81.28
2025-01-27,Challenger,Dimitar Kuzmanov,Max Wiskandt,Hard,0.0993,Strong,2.79,1.57,0,-2.79,81.28
2025-01-27,Challenger,Daniel Masur,Samuel Vincent Ruggeri,Hard,0.0522,Medium,1.67,1.91,1,1.52,81.28
2025-01-27,Challenger,David Jorda Sanchis,Jakub Paul,Hard,0.0558,Medium,1.67,2.62,0,-1.67,81.28
2025-01-27,Challenger,Jelle Sels,Luca Nardi,Hard,0.0462,Small,1.11,6.5,0,-1.11,81.28
2025-01-27,Challenger,Michael Geerts,Ugo Blanchet,Hard,0.0773,Medium,1.67,2.63,0,-1.67,81.28
2025-01-27,Challenger,Matteo Martineau,Ugo Blanchet,Hard,0.0409,Small,1.11,1.62,0,-1.11,81.28
2025-01-27,Challenger,Mats Rosenkranz,Marko Topo,Hard,0.0736,Medium,1.67,1.83,1,1.39,81.28
2025-01-27,Challenger,Henri Squire,Giulio Zeppieri,Hard,0.0752,Medium,1.67,1.8,0,-1.67,81.28
2025-01-27,Challenger,Luca Nardi,Mika Brunold,Hard,0.1019,Strong,2.79,1.5,1,1.4,81.28
2025-01-27,Challenger,Luca Nardi,Tom Gentzsch,Hard,0.0548,Medium,1.67,1.22,1,0.37,81.28
2025-01-27,Challenger,Mika Brunold,Justin Engel,Hard,0.0304,Small,1.11,1.4,1,0.44,81.28
2025-01-27,Challenger,Jakub Nicod,Mariano Dedura Palomero,Hard,0.0765,Medium,1.67,1.25,1,0.42,81.28
2025-01-27,Challenger,Radu Albot,Kaylan Bigun,Hard,0.0461,Small,1.11,1.22,0,-1.11,81.28
2025-01-27,Challenger,Karue Sell,Cannon Kingsley,Hard,0.1059,Strong,2.79,1.5,1,1.4,81.28
2025-01-27,Challenger,Karue Sell,Colton Smith,Hard,0.0994,Strong,2.79,2.0,0,-2.79,81.28
2025-01-27,Challenger,Stefan Kozlov,Micah Braswell,Hard,0.0856,Strong,2.79,1.91,1,2.54,81.28
